date, cputemp[degree], cpuload[%], ramUsed[%], diskspaceLeft[%], doIHaveInternet, transferedBytes, arePackagesUpdated
Thu Jun 1 03:49:20 PM CEST 2023, 58, 1.1, 76.4895, 94, Is connected, 7011691, Yes
Thu Jun 1 03:51:01 PM CEST 2023, 59, 4.3, 76.4194, 94, Is connected, 8287303, Yes
Thu Jun 1 03:52:02 PM CEST 2023, 58, 6.7, 76.4149, 94, Is connected, 8557702, Yes
Thu Jun 1 04:00:01 PM CEST 2023, 57, 4.3, 76.2308, 94, Is connected, 10150421, Yes
Thu Jun 1 04:20:01 PM CEST 2023, 77, 24.7, 85.3999, 94, Is connected, 79385, Yes
Fri Jun 2 08:20:01 AM CEST 2023, 49, 4.5, 82.1948, 94, Is connected, 51152, Yes
Fri Jun 2 08:40:01 AM CEST 2023, 78, 47.8, 92.2194, 94, Is connected, 6534, Yes
Fri Jun 2 09:00:01 AM CEST 2023, 83, 31.8, 70.2436, 94, 1, 91800167, Yes
Fri Jun 2 09:20:01 AM CEST 2023, 83, 29.3, 69.1471, 94, 1, 157671221, Yes
Fri Jun 2 09:40:01 AM CEST 2023, 83, 35.5, 67.9732, 94, 1, 197108882, Yes
Fri Jun 2 10:00:01 AM CEST 2023, 83, 27.7, 66.8677, 94, 1, 205189821, Yes
Fri Jun 2 10:20:01 AM CEST 2023, 83, 33.7, 65.6747, 94, 1, 245846292, Yes
Fri Jun 2 10:40:01 AM CEST 2023, 67, 4.5, 76.8503, 94, 1, 8200610, Yes
Fri Jun 2 11:00:24 AM CEST 2023, 66, 2.2, 85.4959, 94, 1, 74477, Yes
Fri Jun 2 11:20:25 AM CEST 2023, 69, 0.0, 85.7511, 93, 1, 26325, Yes
Fri Jun 2 11:40:01 AM CEST 2023, 79, 12.8, 76.0539, 93, 1, 3824217, Yes
Fri Jun 2 12:00:23 PM CEST 2023, 70, 0.0, 87.2561, 93, 1, 34875, Yes
Fri Jun 2 12:20:02 PM CEST 2023, 79, 21.4, 85.55, 93, 0, 3522921, Yes
Fri Jun 2 12:40:01 PM CEST 2023, 79, 21.4, 85.5293, 93, 0, 4007671, Yes
Fri Jun 2 01:00:01 PM CEST 2023, 80, 19.5, 75.861, 93, 0, 76027939, Yes
Fri Jun 2 01:20:01 PM CEST 2023, 84, 31.5, 70.1287, 93, 1, 94196384, Yes
Fri Jun 2 01:40:01 PM CEST 2023, 83, 28.9, 68.7036, 93, 1, 123203841, Yes
Fri Jun 2 02:00:01 PM CEST 2023, 83, 27.3, 71.91, 93, 1, 11642105, Yes
Fri Jun 2 02:20:01 PM CEST 2023, 80, 11.2, 67.6691, 96, 1, 31132026, Yes
Fri Jun 2 02:40:01 PM CEST 2023, 78, 8.0, 64.9889, 96, 1, 64633262, Yes
Fri Jun 2 03:00:01 PM CEST 2023, 79, 31.5, 60.2695, 96, 1, 90065154, Yes
Fri Jun 2 03:20:01 PM CEST 2023, 78, 11.4, 59.39, 96, 1, 109913114, Yes
Fri Jun 2 03:40:02 PM CEST 2023, 81, 9.1, 52.7547, 96, 1, 150952084, Yes
Fri Jun 2 04:00:01 PM CEST 2023, 84, 26.1, 44.6171, 96, 1, 176655610, Yes
Fri Jun 2 04:20:01 PM CEST 2023, 83, 14.4, 43.6, 96, 1, 269241017, Yes
Fri Jun 2 04:40:03 PM CEST 2023, 84, 50.4, 35.4465, 99, 1, 302207234, Yes
Fri Jun 2 05:00:01 PM CEST 2023, 84, 64.2, 30.3875, 1, 1, 342457058, Yes
Fri Jun 2 05:20:01 PM CEST 2023, 85, 61.1, 27.4036, 5, 1, 353227726, Yes
Fri Jun 2 05:40:02 PM CEST 2023, 84, 58.9, 68.3643, 5, 1, 28084092, Yes
Fri Jun 2 06:00:01 PM CEST 2023, 82, 30.1, 65.4202, 4, 1, 53187616, Yes
Fri Jun 2 06:20:01 PM CEST 2023, 83, 14.7, 62.2886, 7, 1, 61921252, Yes
Fri Jun 2 06:40:22 PM CEST 2023, 85, 52.5, 73.7497, 6, 1, 4188554, Yes
Fri Jun 2 07:00:01 PM CEST 2023, 81, 14.4, 69.5918, 6, 1, 12905819, Yes
Fri Jun 2 07:20:01 PM CEST 2023, 84, 13.2, 65.3075, 6, 1, 45252822, Yes
Fri Jun 2 07:40:01 PM CEST 2023, 85, 60.6, 64.2191, 6, 1, 17978621, Yes
Fri Jun 2 08:00:01 PM CEST 2023, 81, 69.6, 77.9295, 15, 1, 18593191, Yes
Fri Jun 2 08:20:01 PM CEST 2023, 81, 30.0, 75.5843, 15, 1, 35242917, Yes
Fri Jun 2 08:40:01 PM CEST 2023, 84, 29.0, 74.6966, 15, 1, 52076426, Yes
Fri Jun 2 09:00:01 PM CEST 2023, 51, 3.4, 85.181, 15, 0, 703909, Yes
Fri Jun 2 09:00:01 PM CEST 2023, 70, 22.6, 78.7313, 15, 0, 1799469, Yes
Fri Jun 2 09:00:01 PM CEST 2023, 53, 1.1, 84.6729, 15, 0, 355745, Yes
Fri Jun 2 09:00:01 PM CEST 2023, 55, 1.1, 85.8618, 15, 0, 141727, Yes
Fri Jun 2 09:20:01 PM CEST 2023, 55, 1.1, 85.8863, 15, 0, 282487, Yes
Sun Jun 4 08:40:01 AM CEST 2023, 61, 6.9, 75.7324, 15, 1, 50417143, Yes
Sun Jun 4 09:00:01 AM CEST 2023, 66, 4.6, 75.2452, 15, 1, 121065772, Yes
Sun Jun 4 09:20:01 AM CEST 2023, 85, 51.6, 77.7792, 15, 1, 357834899, Yes
Sun Jun 4 09:40:01 AM CEST 2023, 75, 6.8, 80.5924, 15, 1, 5631693, Yes
Sun Jun 4 10:00:01 AM CEST 2023, 71, 5.4, 81.8969, 15, 1, 10491090, Yes
Sun Jun 4 10:08:01 AM CEST 2023, 78, 50.7, 90.5661, 15, 1, 4086, Yes
Sun Jun 4 10:09:26 AM CEST 2023, 75, 22.5, 81.9901, 15, 1, 728756, Yes
Sun Jun 4 10:10:01 AM CEST 2023, 74, 45.1, 82.266, 15, 1, 1763097, Yes
Sun Jun 4 10:11:01 AM CEST 2023, 73, 27.0, 82.1094, 15, 1, 2808123, Yes
