Date, Serial Port, Plant Alarm, Pump Alarm, Soil Moisture, Light
Sun Jun 4 10:14:01 AM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 10:16:01 AM CEST 2023, ttyACM0, 0,1,1,81
Sun Jun 4 10:18:01 AM CEST 2023, ttyACM0, 0,1,1,73
Sun Jun 4 10:20:56 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 10:22:01 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 10:24:01 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 10:26:01 AM CEST 2023, ttyACM0, 0,1,1,84
Sun Jun 4 10:28:55 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 10:30:01 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 10:32:01 AM CEST 2023, ttyACM0, 0,0,2,83
Sun Jun 4 10:34:01 AM CEST 2023, ttyACM0, 0,0,1,83
Sun Jun 4 10:36:24 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 10:38:01 AM CEST 2023, ttyACM0, 0,0,1,83
Sun Jun 4 10:40:23 AM CEST 2023, ttyACM0, 0,0,1,83
Sun Jun 4 10:42:01 AM CEST 2023, ttyACM0, 0,1,67,80
Sun Jun 4 10:44:01 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 10:46:01 AM CEST 2023, ttyACM0, 0,1,1,84
Sun Jun 4 10:48:01 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 10:50:01 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 10:52:01 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 10:54:01 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 10:56:01 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 10:58:01 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 11:00:01 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 11:02:01 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 11:04:01 AM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 11:06:01 AM CEST 2023, ttyACM0, 0,1,1,84
Sun Jun 4 11:08:01 AM CEST 2023, ttyACM0, 0,1,1,84
Sun Jun 4 11:10:01 AM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 11:12:01 AM CEST 2023, ttyACM0, 0,1,63,83
Sun Jun 4 11:14:01 AM CEST 2023, ttyACM0, 0,1,64,83
Sun Jun 4 11:16:01 AM CEST 2023, ttyACM0, 0,1,68,83
Sun Jun 4 11:18:01 AM CEST 2023, ttyACM0, 0,1,67,83
Sun Jun 4 11:20:01 AM CEST 2023, ttyACM0, 0,1,68,85
Sun Jun 4 11:22:01 AM CEST 2023, ttyACM0, 0,1,66,86
Sun Jun 4 11:34:01 AM CEST 2023, ttyACM0, ,0,68,85
Sun Jun 4 11:36:01 AM CEST 2023, ttyACM0, 0,0,67,84
Sun Jun 4 11:38:01 AM CEST 2023, ttyACM0, 0,0,68,76
Sun Jun 4 11:40:01 AM CEST 2023, ttyACM0, 0,1,67,84
Sun Jun 4 11:42:01 AM CEST 2023, ttyACM0, 0,1,67,84
Sun Jun 4 11:44:01 AM CEST 2023, ttyACM0, 0,1,67,81
Sun Jun 4 11:46:01 AM CEST 2023, ttyACM0, 0,1,68,80
Sun Jun 4 11:48:01 AM CEST 2023, ttyACM0, 0,1,68,82
Sun Jun 4 11:50:01 AM CEST 2023, ttyACM0, 0,1,67,80
